country,state,city,year,month,ev_registrations,bev_registrations,phev_registrations,charging_stations,charging_points,ev_per_station,station_density,coverage_gap,demand_score,priority_score,monthly_growth_pct,yoy_growth_pct,ev_market_share_pct,bev_share_pct,population,population_density,infra_status,city_tier
Austria,Salzburg,Salzburg,2022,11,16.0,11,5,190.0,667,26.26,1.22564,4.26,10.873,10.541,-20.0,60.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2022,12,17.0,12,5,190.0,667,26.26,1.22564,4.26,13.373,13.041,6.25,70.0,3.3,67.7,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,1,20.0,13,7,257.0,907,25.19,1.65784,3.19,17.505,17.173,17.65,66.67,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,2,19.0,13,6,257.0,907,25.19,1.65784,3.19,10.445,10.113,-5.0,18.75,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,3,24.0,16,8,257.0,907,25.19,1.65784,3.19,20.973,20.641,26.32,20.0,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,4,23.0,16,7,257.0,907,25.19,1.65784,3.19,10.445,10.113,-4.17,43.75,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,5,19.0,13,6,257.0,907,25.19,1.65784,3.19,10.445,10.113,-17.39,18.75,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,6,22.0,15,7,257.0,907,25.19,1.65784,3.19,16.761,16.429,15.79,46.67,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,7,23.0,17,6,257.0,907,25.19,1.65784,3.19,12.265,11.933,4.55,35.29,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,8,21.0,15,6,257.0,907,25.19,1.65784,3.19,10.445,10.113,-8.7,23.53,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,9,22.0,15,7,257.0,907,25.19,1.65784,3.19,12.349,12.017,4.76,22.22,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,10,25.0,17,8,257.0,907,25.19,1.65784,3.19,15.901,15.569,13.64,25.0,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,11,25.0,18,7,257.0,907,25.19,1.65784,3.19,10.445,10.113,0.0,56.25,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2023,12,24.0,16,8,257.0,907,25.19,1.65784,3.19,10.445,10.113,-4.0,41.18,4.4,70.4,155021.0,1847,Needs Attention,Tier 2
Austria,Salzburg,Salzburg,2024,1,20.0,14,6,507.0,1142,15.59,3.27052,0.0,6.605,6.273,-16.67,0.0,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,2,24.0,17,7,507.0,1142,15.59,3.27052,0.0,14.605,14.273,20.0,26.32,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,3,28.0,19,9,507.0,1142,15.59,3.27052,0.0,13.273,12.941,16.67,16.67,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,5,26.0,19,7,507.0,1142,15.59,3.27052,0.0,6.605,6.273,0.0,36.84,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,6,29.0,21,8,507.0,1142,15.59,3.27052,0.0,11.221,10.889,11.54,31.82,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,7,25.0,17,8,507.0,1142,15.59,3.27052,0.0,6.605,6.273,-13.79,8.7,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,8,25.0,17,8,507.0,1142,15.59,3.27052,0.0,6.605,6.273,0.0,19.05,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,9,28.0,20,8,507.0,1142,15.59,3.27052,0.0,11.405,11.073,12.0,27.27,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,10,29.0,22,7,507.0,1142,15.59,3.27052,0.0,8.033,7.701,3.57,16.0,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,11,28.0,21,7,507.0,1142,15.59,3.27052,0.0,6.605,6.273,-3.45,12.0,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2024,12,29.0,20,9,507.0,1142,15.59,3.27052,0.0,8.033,7.701,3.57,20.83,5.4,73.1,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,1,30.0,22,8,665.0,1424,15.46,4.28974,0.0,7.933,7.601,3.45,50.0,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,2,27.0,20,7,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-10.0,12.5,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,3,38.0,28,10,665.0,1424,15.46,4.28974,0.0,22.849,22.517,40.74,35.71,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,4,37.0,26,11,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-2.63,42.31,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,5,40.0,31,9,665.0,1424,15.46,4.28974,0.0,9.797,9.465,8.11,53.85,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,6,33.0,24,9,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-17.5,13.79,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,7,31.0,22,9,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-6.06,24.0,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,8,32.0,23,9,665.0,1424,15.46,4.28974,0.0,7.845,7.513,3.23,28.0,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,9,42.0,30,12,665.0,1424,15.46,4.28974,0.0,19.053,18.721,31.25,50.0,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,10,38.0,30,8,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-9.52,31.03,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,11,41.0,32,9,665.0,1424,15.46,4.28974,0.0,9.709,9.377,7.89,46.43,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Salzburg,Salzburg,2025,12,36.0,26,10,665.0,1424,15.46,4.28974,0.0,6.553,6.221,-12.2,24.14,6.6,75.8,155021.0,1847,Adequate,Tier 2
Austria,Styria,Graz,2021,1,17.0,11,6,307.0,697,18.29,1.05472,0.0,8.484,8.171,2.05,137.01,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,2,17.0,10,7,307.0,697,18.29,1.05472,0.0,7.664,7.351,0.0,178.71,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,3,21.0,14,7,307.0,697,18.29,1.05472,0.0,17.076,16.763,23.53,120.95,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,4,20.0,13,7,307.0,697,18.29,1.05472,0.0,7.664,7.351,-4.76,179.09,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,5,22.0,14,8,307.0,697,18.29,1.05472,0.0,11.664,11.351,10.0,206.77,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,6,20.0,12,8,307.0,697,18.29,1.05472,0.0,7.664,7.351,-9.09,127.99,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,7,20.0,12,8,307.0,697,18.29,1.05472,0.0,7.664,7.351,0.0,136.86,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,8,18.0,11,7,307.0,697,18.29,1.05472,0.0,7.664,7.351,-10.0,151.92,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,9,21.0,13,8,307.0,697,18.29,1.05472,0.0,14.332,14.019,16.67,143.88,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,10,22.0,13,9,307.0,697,18.29,1.05472,0.0,9.568,9.255,4.76,141.13,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,11,21.0,12,9,307.0,697,18.29,1.05472,0.0,7.664,7.351,-4.55,164.19,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2021,12,22.0,15,7,307.0,697,18.29,1.05472,0.0,9.568,9.255,4.76,183.61,2.0,65.0,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,1,31.0,21,10,547.0,1514,17.97,1.87926,0.0,23.9,23.587,40.91,82.35,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,2,27.0,17,10,547.0,1514,17.97,1.87926,0.0,7.536,7.223,-12.9,58.82,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,3,36.0,23,13,547.0,1514,17.97,1.87926,0.0,20.868,20.555,33.33,71.43,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,4,38.0,25,13,547.0,1514,17.97,1.87926,0.0,9.76,9.447,5.56,90.0,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,5,34.0,21,13,547.0,1514,17.97,1.87926,0.0,7.536,7.223,-10.53,54.55,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,6,30.0,21,9,547.0,1514,17.97,1.87926,0.0,7.536,7.223,-11.76,50.0,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,7,31.0,21,10,547.0,1514,17.97,1.87926,0.0,19.416,8.555,3.33,55.0,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,8,37.0,26,11,547.0,1514,17.97,1.87926,0.0,15.276,14.963,19.35,105.56,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,9,39.0,27,12,547.0,1514,17.97,1.87926,0.0,9.7,9.387,5.41,85.71,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,10,39.0,26,13,547.0,1514,17.97,1.87926,0.0,7.536,7.223,0.0,77.27,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,11,31.0,20,11,547.0,1514,17.97,1.87926,0.0,7.536,7.223,-20.51,47.62,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2022,12,34.0,24,10,547.0,1514,17.97,1.87926,0.0,11.408,11.095,9.68,54.55,3.3,67.7,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,1,38.0,27,11,745.0,2011,17.61,2.5595,0.0,12.096,11.783,11.76,22.58,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,2,44.0,31,13,745.0,2011,17.61,2.5595,0.0,13.708,13.395,15.79,62.96,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,3,46.0,31,15,745.0,2011,17.61,2.5595,0.0,9.212,8.899,4.55,27.78,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,4,39.0,28,11,745.0,2011,17.61,2.5595,0.0,7.392,7.079,-15.22,2.63,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,5,47.0,34,13,745.0,2011,17.61,2.5595,0.0,15.596,15.283,20.51,38.24,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,6,45.0,32,13,745.0,2011,17.61,2.5595,0.0,7.392,7.079,-4.26,50.0,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,7,46.0,32,14,745.0,2011,17.61,2.5595,0.0,8.28,7.967,2.22,48.39,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,8,40.0,29,11,745.0,2011,17.61,2.5595,0.0,7.392,7.079,-13.04,8.11,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,9,38.0,25,13,745.0,2011,17.61,2.5595,0.0,7.392,7.079,-5.0,-2.56,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,10,51.0,34,17,745.0,2011,17.61,2.5595,0.0,21.076,20.763,34.21,30.77,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,11,38.0,28,10,745.0,2011,17.61,2.5595,0.0,7.392,7.079,-25.49,22.58,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2023,12,41.0,29,12,745.0,2011,17.61,2.5595,0.0,10.548,10.235,7.89,20.59,4.4,70.4,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,1,40.0,30,10,780.0,2332,19.73,2.67975,0.0,8.24,7.927,-2.44,5.26,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,2,42.0,29,13,780.0,2332,19.73,2.67975,0.0,10.24,9.927,5.0,-4.55,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,3,57.0,43,14,780.0,2332,19.73,2.67975,0.0,22.524,22.211,35.71,23.91,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,4,51.0,35,16,780.0,2332,19.73,2.67975,0.0,8.24,7.927,-10.53,30.77,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,5,53.0,37,16,780.0,2332,19.73,2.67975,0.0,9.808,9.495,3.92,12.77,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,6,58.0,44,14,780.0,2332,19.73,2.67975,0.0,12.012,11.699,9.43,28.89,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,7,53.0,38,15,780.0,2332,19.73,2.67975,0.0,8.24,7.927,-8.62,15.22,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,8,50.0,35,15,780.0,2332,19.73,2.67975,0.0,8.24,7.927,-5.66,25.0,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,9,57.0,41,16,780.0,2332,19.73,2.67975,0.0,13.84,13.527,14.0,50.0,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,10,57.0,41,16,780.0,2332,19.73,2.67975,0.0,8.24,7.927,0.0,11.76,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,11,29.0,32,15,780.0,2332,19.73,2.67975,0.0,8.24,7.927,-17.54,23.68,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2024,12,54.0,40,14,780.0,2332,19.73,2.67975,0.0,14.196,13.883,14.89,31.71,5.4,73.1,291072.0,1742,Adequate,Tier 2
Austria,Styria,Graz,2025,1,55.0,42,13,791.0,2200,22.18,2.71754,0.18,9.96,9.647,1.85,37.5,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,2,53.0,38,15,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-3.64,26.19,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,3,67.0,51,16,791.0,2200,22.18,2.71754,0.18,19.788,19.475,26.42,17.54,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,4,63.0,49,14,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-5.97,23.53,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,5,67.0,53,14,791.0,2200,22.18,2.71754,0.18,11.76,11.447,6.35,26.42,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,6,61.0,48,13,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-8.96,5.17,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,7,57.0,43,14,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-6.56,7.55,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,8,58.0,42,16,791.0,2200,22.18,2.71754,0.18,9.92,9.607,1.75,16.0,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,9,65.0,49,16,791.0,2200,22.18,2.71754,0.18,14.048,13.735,12.07,14.04,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,10,54.0,41,13,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-16.92,-5.26,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,11,52.0,40,12,791.0,2200,22.18,2.71754,0.18,9.22,8.907,-3.7,10.64,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Styria,Graz,2025,12,61.0,44,17,791.0,2200,22.18,2.71754,0.18,16.144,15.831,17.31,12.96,6.6,75.8,291072.0,1742,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2021,1,7.0,4,3,149.0,372,17.07,1.12459,0.0,8.768,8.512,4.14,136.31,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,2,8.0,5,3,149.0,372,17.07,1.12459,0.0,12.828,12.572,14.29,169.44,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,3,10.0,6,4,149.0,372,17.07,1.12459,0.0,17.112,16.856,25.0,132.57,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,4,9.0,5,4,149.0,372,17.07,1.12459,0.0,7.112,6.856,-10.0,122.85,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,5,9.0,5,4,149.0,372,17.07,1.12459,0.0,7.112,6.856,0.0,196.9,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,6,7.0,4,3,149.0,372,17.07,1.12459,0.0,7.112,6.856,-22.22,162.62,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,7,7.0,4,3,149.0,372,17.07,1.12459,0.0,7.112,6.856,0.0,201.15,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,8,9.0,5,4,149.0,372,17.07,1.12459,0.0,18.54,18.284,28.57,174.59,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,10,29.0,5,4,149.0,372,17.07,1.12459,0.0,7.112,6.856,0.0,148.75,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,11,9.0,5,4,149.0,372,17.07,1.12459,0.0,7.112,6.856,0.0,191.14,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2021,12,9.0,5,4,149.0,372,17.07,1.12459,0.0,7.112,6.856,0.0,175.55,2.0,65.0,132493.0,1421,Adequate,Tier 2
Austria,Tyrol,Innsbruck,2022,1,13.0,8,5,197.0,701,23.14,1.48687,1.14,27.316,27.06,44.44,85.71,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,2,13.0,8,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,0.0,62.5,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,3,18.0,11,7,197.0,701,23.14,1.48687,1.14,24.924,24.668,38.46,80.0,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,4,15.0,10,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,-16.67,66.67,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,5,16.0,11,5,197.0,701,23.14,1.48687,1.14,12.208,11.952,6.67,77.78,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,6,15.0,10,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,-6.25,114.29,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,7,13.0,8,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,-13.33,85.71,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,8,13.0,8,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,0.0,44.44,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,9,18.0,12,6,197.0,701,23.14,1.48687,1.14,24.924,24.668,38.46,100.0,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,10,18.0,12,6,197.0,701,23.14,1.48687,1.14,9.54,9.284,0.0,100.0,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,11,16.0,11,5,197.0,701,23.14,1.48687,1.14,9.54,9.284,-11.11,77.78,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2022,12,16.0,10,6,197.0,701,23.14,1.48687,1.14,9.54,9.284,0.0,77.78,3.3,67.7,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,1,14.0,9,5,236.0,718,22.42,1.78123,0.42,9.252,8.996,-12.5,7.69,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,2,16.0,10,6,236.0,718,22.42,1.78123,0.42,14.968,14.712,14.29,23.08,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,3,18.0,12,6,236.0,718,22.42,1.78123,0.42,14.252,13.996,12.5,0.0,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,4,18.0,11,7,236.0,718,22.42,1.78123,0.42,9.252,8.996,0.0,20.0,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,5,19.0,13,6,236.0,718,22.42,1.78123,0.42,11.476,11.22,5.56,18.75,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,6,20.0,13,7,236.0,718,22.42,1.78123,0.42,11.356,11.1,5.26,33.33,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,7,18.0,12,6,236.0,718,22.42,1.78123,0.42,9.252,8.996,-10.0,38.46,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
Austria,Tyrol,Innsbruck,2023,8,16.0,11,5,236.0,718,22.42,1.78123,0.42,9.252,8.996,-11.11,23.08,4.4,70.4,132493.0,1421,Needs Attention,Tier 2
